ResourceID,title,filename,thumbnail,year,source
a0a0a0a0-0000-0100-0001-000000000000,Paiute Rocks Panel 1 detail facing 220 southwest NRAF 2010 photo,PR_Panel-1 detail_facing 220 southwest_NRAF 2010 photo.jpg,PR_Panel-1 detail_facing 220 southwest_NRAF 2010 photo_thumb.jpg,2010,Nevada Rock Art Foundation
a0a0a0a0-0000-0100-0002-000000000000,Paiute Rocks Panel 1A NRAF 2005 drawing,PR_Panel-1A_NRAF 2005 drawing.jpg,PR_Panel-1A_NRAF 2005 drawing_thumb.jpg,2005,Nevada Rock Art Foundation
a0a0a0a0-0000-0100-0003-000000000000,Paiute Rocks Panel 1C NRAF 2005 drawing,PR_Panel-1C_NRAF 2005 drawing.jpg,PR_Panel-1C_NRAF 2005 drawing_thumb.jpg,2005,Nevada Rock Art Foundation
a0a0a0a0-0000-0100-0004-000000000000,Paiute Rocks Panel 1 facing 220 southwest NRAF 2010 photo,PR_Panel-1_facing 220 southwest_NRAF 2010 photo.jpg,PR_Panel-1_facing 220 southwest_NRAF 2010 photo_thumb.jpg,2010,Nevada Rock Art Foundation
a0a0a0a0-0000-0100-0005-000000000000,Paiute Rocks Panel 1 NRAF 2005 photo,PR_Panel-1_NRAF 2005 photo.jpg,PR_Panel-1_NRAF 2005 photo_thumb.jpg,2005,Nevada Rock Art Foundation
a0a0a0a0-0000-0100-0006-000000000000,Paiute Rocks Panel 1B NRAF 2005 drawing,PR_Panel-1B_NRAF 2005 drawing.jpg,PR_Panel-1B_NRAF 2005 drawing_thumb.jpg,2005,Nevada Rock Art Foundation
a0a0a0a0-0000-1200-0001-000000000000,Paiute Rocks Panel 12 bottom left NRAF 2005 drawing,PR_Panel-12 bottom left_NRAF 2005 drawing.jpg,PR_Panel-12 bottom left_NRAF 2005 drawing_thumb.jpg,2005,Nevada Rock Art Foundation
a0a0a0a0-0000-1200-0002-000000000000,Paiute Rocks Panel 12 NRAF 2005 drawing,PR_Panel-12_NRAF 2005 drawing.jpg,PR_Panel-12_NRAF 2005 drawing_thumb.jpg,2005,Nevada Rock Art Foundation
a0a0a0a0-0000-1200-0003-000000000000,Paiute Rocks Panel 12 graffiti detail facing 140 southeast NRAF 2010 additonal photo,PR_Panel-12 graffiti detail_facing 140 southeast_NRAF 2010 additonal photo.jpg,PR_Panel-12 graffiti detail_facing 140 southeast_NRAF 2010 additonal photo_thumb.jpg,2010,Nevada Rock Art Foundation
a0a0a0a0-0000-1200-0004-000000000000,Paiute Rocks Panel 12 graffiti detail facing 140 southeast NRAF 2010 photo,PR_Panel-12 graffiti detail_facing 140 southeast_NRAF 2010 photo.jpg,PR_Panel-12 graffiti detail_facing 140 southeast_NRAF 2010 photo_thumb.jpg,2010,Nevada Rock Art Foundation
a0a0a0a0-0000-1200-0005-000000000000,Paiute Rocks Panel 12 right side NRAF 2005 drawing,PR_Panel-12 right side_NRAF 2005 drawing.jpg,PR_Panel-12 right side_NRAF 2005 drawing_thumb.jpg,2005,Nevada Rock Art Foundation
a0a0a0a0-0000-1200-0006-000000000000,Paiute Rocks Panel 12 scratched graffiti detail facing 140 southeast NRAF  2010 photo,PR_Panel-12 scratched graffiti detail_facing 140 southeast_NRAF  2010 photo.jpg,PR_Panel-12 scratched graffiti detail_facing 140 southeast_NRAF  2010 photo_thumb.jpg,2010,Nevada Rock Art Foundation
